condition	go_id	term_label	n_lead_genes	file	string_url_truncated
αCD3_5min		GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	43	output/analyze/leading_edge/αCD3_5min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	https://string-db.org/cgi/network?identifiers=AHNAK%0DARHGAP35%0DARHGEF7%0DCAMK1%0DCBLL1%0DCLASP1%0DCLIP1%0DDOCK2%0DEIF4G1%0DEP300%0DEVL%0DHTT%0DICE1%0DLIMA1%0DMAP2K2%0DMAP4K4%0DMAPK1%0DMAPK3%0DMAPRE1%0DMAPRE2%0DMARK2%0DMIEF1%0DNDEL1%0DNF2%0DNFATC2%0DOSBP%0DPARN%0DPHIP%0DPPP3CB%0DPRKCQ%0DPTPN22%0DPUM2%0DRAB3GAP1%0DRAPGEF1%0DRB1%0DRIPOR2%0DSEPTIN9%0DSETX%0DSMC4%0DSORBS3%0DTERF2IP%0DTPR%0DVASP&species=9606
αCD3_5min		GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY	3	output/analyze/leading_edge/αCD3_5min__GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY.txt	https://string-db.org/cgi/network?identifiers=EMD%0DHMGXB4%0DLIMD1&species=9606
αCD3_5min		GOBP_POSITIVE_REGULATION_OF_LOCOMOTION	18	output/analyze/leading_edge/αCD3_5min__GOBP_POSITIVE_REGULATION_OF_LOCOMOTION.txt	https://string-db.org/cgi/network?identifiers=ARHGEF2%0DARHGEF7%0DBSG%0DCLASP1%0DDMTN%0DIL16%0DMAP2K2%0DMAP4K4%0DMAPK3%0DMAPRE2%0DPIK3C2A%0DPLCG1%0DRIPOR1%0DRIPOR2%0DSPN%0DTMSB4X%0DWDR62%0DZNF609&species=9606
αCD3_5min		GOBP_RESPONSE_TO_UV	5	output/analyze/leading_edge/αCD3_5min__GOBP_RESPONSE_TO_UV.txt	https://string-db.org/cgi/network?identifiers=DTL%0DPRKAA1%0DPTPRK%0DSIRT1%0DTAF1&species=9606
αCD3_5min		GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	17	output/analyze/leading_edge/αCD3_5min__GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY.txt	https://string-db.org/cgi/network?identifiers=ARHGEF7%0DCLASP1%0DCLIP1%0DDMTN%0DEIF4G1%0DEP300%0DEPRS1%0DEVL%0DGAPDH%0DHCLS1%0DICE1%0DKIF21A%0DMAPRE1%0DPTPN22%0DSTMN1%0DTMSB4X%0DVASP&species=9606
αCD3_αCD226_5min		GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	8	output/analyze/leading_edge/αCD3_αCD226_5min__GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY.txt	https://string-db.org/cgi/network?identifiers=ARID4B%0DEP300%0DLATS1%0DPTPRK%0DSIRT1%0DSNW1%0DTRIM33%0DZEB1&species=9606
αCD3_αCD226_5min		GOBP_CYTOSOLIC_TRANSPORT	5	output/analyze/leading_edge/αCD3_αCD226_5min__GOBP_CYTOSOLIC_TRANSPORT.txt	https://string-db.org/cgi/network?identifiers=ERC1%0DMON2%0DRCSD1%0DRIC1%0DTBC1D5&species=9606
αCD3_αCD226_5min		GOBP_GROWTH	30	output/analyze/leading_edge/αCD3_αCD226_5min__GOBP_GROWTH.txt	https://string-db.org/cgi/network?identifiers=ANAPC2%0DATRX%0DCCM2%0DCDKN2AIP%0DEIF2AK4%0DEIF4G1%0DERCC6%0DGIGYF2%0DGSK3A%0DINTS1%0DKAT7%0DLIMK1%0DMED1%0DMYCBP2%0DNDEL1%0DNDRG3%0DNF2%0DPPP3CB%0DPRKCQ%0DPUM2%0DRB1%0DRBBP6%0DRFTN1%0DRPS6KA1%0DRPS6KA3%0DRPTOR%0DSASH3%0DSMARCA4%0DTRIM28%0DURI1&species=9606
αCD3_αCD226_5min		GOBP_REGULATION_OF_GROWTH	19	output/analyze/leading_edge/αCD3_αCD226_5min__GOBP_REGULATION_OF_GROWTH.txt	https://string-db.org/cgi/network?identifiers=ANAPC2%0DCDKN2AIP%0DEIF4G1%0DGSK3A%0DKAT7%0DLIMK1%0DMYCBP2%0DNDRG3%0DNF2%0DPRKCQ%0DPUM2%0DRB1%0DRFTN1%0DRPS6KA1%0DRPS6KA3%0DRPTOR%0DSASH3%0DSMARCA4%0DURI1&species=9606
αCD3_αCD226_5min		GOBP_CELL_GROWTH	19	output/analyze/leading_edge/αCD3_αCD226_5min__GOBP_CELL_GROWTH.txt	https://string-db.org/cgi/network?identifiers=ANAPC2%0DCDKN2AIP%0DEIF2AK4%0DEIF4G1%0DGSK3A%0DKAT7%0DLIMK1%0DNDEL1%0DNDRG3%0DNF2%0DPPP3CB%0DPRKCQ%0DPUM2%0DRB1%0DRPS6KA1%0DRPS6KA3%0DRPTOR%0DSMARCA4%0DURI1&species=9606
αCD3_αICOS_5min		GOBP_DEFENSE_RESPONSE_TO_VIRUS	8	output/analyze/leading_edge/αCD3_αICOS_5min__GOBP_DEFENSE_RESPONSE_TO_VIRUS.txt	https://string-db.org/cgi/network?identifiers=ADAR%0DAKAP1%0DERCC6%0DIRF2%0DSPN%0DTREX1%0DTRIM22%0DTRIM28&species=9606
αCD3_αICOS_5min		GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION	15	output/analyze/leading_edge/αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	https://string-db.org/cgi/network?identifiers=APC%0DARHGEF2%0DARHGEF7%0DCLASP1%0DCLIP1%0DEML3%0DGIT1%0DKIF21A%0DMAP9%0DMAPRE1%0DMARK2%0DPRKAA1%0DRIPOR2%0DTACC3%0DTPR&species=9606
αCD3_αICOS_5min		GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS	18	output/analyze/leading_edge/αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS.txt	https://string-db.org/cgi/network?identifiers=APC%0DARHGEF2%0DARHGEF7%0DCEP131%0DCHORDC1%0DCLASP1%0DCLIP1%0DEML3%0DGIT1%0DKIF21A%0DMAP9%0DMAPRE1%0DMARK2%0DPRKAA1%0DRIPOR2%0DTACC3%0DTPR%0DWDR62&species=9606
αCD3_αICOS_5min		GOBP_TYPE_I_INTERFERON_PRODUCTION	4	output/analyze/leading_edge/αCD3_αICOS_5min__GOBP_TYPE_I_INTERFERON_PRODUCTION.txt	https://string-db.org/cgi/network?identifiers=HMGB2%0DIRF2%0DPPHLN1%0DTREX1&species=9606
αCD3_αICOS_5min		GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	15	output/analyze/leading_edge/αCD3_αICOS_5min__GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION.txt	https://string-db.org/cgi/network?identifiers=APC%0DARHGEF2%0DARHGEF7%0DCLASP1%0DCLIP1%0DGIT1%0DHAUS6%0DKIF18B%0DKIF21A%0DMAP7D3%0DMAPRE1%0DNDEL1%0DPCNT%0DSKA3%0DSTMN1&species=9606
αCD3_αCD2_5min		GOBP_CYTOPLASMIC_TRANSLATION	10	output/analyze/leading_edge/αCD3_αCD2_5min__GOBP_CYTOPLASMIC_TRANSLATION.txt	https://string-db.org/cgi/network?identifiers=EEF1D%0DEEF2%0DEIF3E%0DEIF3G%0DHNRNPD%0DRPL29%0DRPS14%0DRPS9%0DUNK%0DYBX3&species=9606
αCD3_αCD2_5min		GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	9	output/analyze/leading_edge/αCD3_αCD2_5min__GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY.txt	https://string-db.org/cgi/network?identifiers=BCL9L%0DEP300%0DHDAC1%0DLATS1%0DLEMD3%0DMAP3K7%0DPTPRK%0DSIRT1%0DTRIM33&species=9606
αCD3_αCD2_5min		GOBP_REGULATION_OF_CELL_SHAPE	8	output/analyze/leading_edge/αCD3_αCD2_5min__GOBP_REGULATION_OF_CELL_SHAPE.txt	https://string-db.org/cgi/network?identifiers=ARHGAP35%0DDMTN%0DFGD3%0DLIMD1%0DMYH9%0DPALM2AKAP2%0DPHIP%0DPLEKHO1&species=9606
αCD3_αCD2_5min		GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	8	output/analyze/leading_edge/αCD3_αCD2_5min__GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS.txt	https://string-db.org/cgi/network?identifiers=ARID4B%0DBCL9L%0DEP300%0DHDAC1%0DLATS1%0DLEMD3%0DSIRT1%0DTRIM33&species=9606
αCD3_αCD2_5min		GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	6	output/analyze/leading_edge/αCD3_αCD2_5min__GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION.txt	https://string-db.org/cgi/network?identifiers=MAPK3%0DPARN%0DPPP1R10%0DPRKCQ%0DTERF2IP%0DTPR&species=9606
αCD3_10min		GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	9	output/analyze/leading_edge/αCD3_10min__GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA.txt	https://string-db.org/cgi/network?identifiers=BCL9L%0DKMT2A%0DLATS1%0DLEMD3%0DPAK2%0DPTPRK%0DSIRT1%0DTRIM33%0DZEB1&species=9606
αCD3_10min		GOBP_POSITIVE_REGULATION_OF_LOCOMOTION	17	output/analyze/leading_edge/αCD3_10min__GOBP_POSITIVE_REGULATION_OF_LOCOMOTION.txt	https://string-db.org/cgi/network?identifiers=APC%0DARHGEF2%0DARHGEF7%0DBSG%0DDMTN%0DIL16%0DMAP2K2%0DMAP3K7%0DMAP4K4%0DMAPK3%0DPDPK1%0DPECAM1%0DPIK3C2A%0DPLCG1%0DRICTOR%0DRIPOR2%0DSPN&species=9606
αCD3_10min		GOBP_ERBB_SIGNALING_PATHWAY	7	output/analyze/leading_edge/αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	https://string-db.org/cgi/network?identifiers=BRAF%0DMAP2K2%0DMAPK3%0DPDPK1%0DPIK3C2A%0DPLCG1%0DRAF1&species=9606
αCD3_10min		GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	31	output/analyze/leading_edge/αCD3_10min__GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION.txt	https://string-db.org/cgi/network?identifiers=ADAR%0DATXN2%0DBZW1%0DCSDE1%0DCUL4A%0DEDC3%0DEIF4B%0DEIF4ENIF1%0DEIF4G1%0DEIF4G3%0DEIF5B%0DGAPDH%0DGIGYF1%0DGIGYF2%0DHNRNPA0%0DKHDRBS1%0DLARP1%0DLIMD1%0DMATR3%0DMKNK1%0DNCL%0DPARN%0DPRKCD%0DPRKDC%0DPUM2%0DRBM10%0DRPS6KA1%0DRPS6KA3%0DTNRC6C%0DTPR%0DYTHDF2&species=9606
αCD3_10min		GOBP_TELOMERE_ORGANIZATION	6	output/analyze/leading_edge/αCD3_10min__GOBP_TELOMERE_ORGANIZATION.txt	https://string-db.org/cgi/network?identifiers=ATRX%0DMAPK3%0DPARN%0DPRKCQ%0DPRKDC%0DRIF1&species=9606
αCD3_αCD226_10min		GOBP_DNA_RECOMBINATION	7	output/analyze/leading_edge/αCD3_αCD226_10min__GOBP_DNA_RECOMBINATION.txt	https://string-db.org/cgi/network?identifiers=BCL11B%0DH1-5%0DLIG1%0DMCM4%0DRECQL4%0DTOP2B%0DUNG&species=9606
αCD3_αCD226_10min		GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	48	output/analyze/leading_edge/αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	https://string-db.org/cgi/network?identifiers=ADD1%0DAHNAK%0DARHGAP35%0DARHGEF7%0DASAP1%0DC2CD5%0DCAMK1%0DCLASP1%0DDOCK2%0DEIF4G1%0DEVL%0DFBXO38%0DGOLGA4%0DGSK3A%0DHNRNPA1%0DHNRNPA2B1%0DHTT%0DICE1%0DIQSEC1%0DLIMA1%0DMAP2K2%0DMAP2K7%0DMAP4K4%0DMAPK3%0DMAPRE1%0DMARK2%0DNDEL1%0DNF2%0DNFATC2%0DOSBP%0DPARN%0DPHIP%0DPRKCQ%0DPTPN22%0DPUM2%0DRAB3GAP1%0DRAPGEF6%0DRB1%0DRICTOR%0DRIPOR2%0DSEMA4D%0DSEPTIN9%0DSF3A2%0DSORBS3%0DTERF2IP%0DVASP%0DWASF2%0DYY1&species=9606
αCD3_αCD226_10min		GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	4	output/analyze/leading_edge/αCD3_αCD226_10min__GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION.txt	https://string-db.org/cgi/network?identifiers=BSG%0DGAPDH%0DITGB7%0DNUP153&species=9606
αCD3_αCD226_10min		GOBP_REGULATION_OF_TRANSPORT	49	output/analyze/leading_edge/αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	https://string-db.org/cgi/network?identifiers=AIMP1%0DARFGAP1%0DATP2B1%0DBAD%0DBSG%0DC2CD5%0DCAMK1%0DCBLB%0DCEP131%0DCLASP1%0DDOCK2%0DEMD%0DGAPVD1%0DGLUD1%0DGSK3A%0DHCLS1%0DHMGCR%0DICE1%0DIQSEC1%0DIWS1%0DKHDRBS1%0DLAMTOR1%0DLIME1%0DMAP2K2%0DMAPK3%0DNDEL1%0DNF1%0DNF2%0DNUP153%0DOSBP%0DOSBPL8%0DPCM1%0DPCNT%0DPEA15%0DPFKFB2%0DPFKL%0DPPP1R12A%0DPRKAA1%0DPRKCB%0DPRKCD%0DRAB3GAP1%0DRAB5A%0DRBM10%0DRIC1%0DSARAF%0DSEPTIN1%0DSTIM1%0DSTIM2%0DTRIM28&species=9606
αCD3_αCD226_10min		GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	26	output/analyze/leading_edge/αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION.txt	https://string-db.org/cgi/network?identifiers=ARHGAP35%0DC2CD5%0DCLASP1%0DEVL%0DGSK3A%0DHNRNPA1%0DHNRNPA2B1%0DHTT%0DLIMA1%0DMAP2K7%0DMAPK3%0DMAPRE1%0DNF2%0DOSBP%0DPARN%0DPHIP%0DPRKCQ%0DRAB3GAP1%0DRB1%0DRICTOR%0DSEPTIN9%0DSORBS3%0DTERF2IP%0DVASP%0DWASF2%0DYY1&species=9606
αCD3_αICOS_10min		GOBP_VESICLE_ORGANIZATION	6	output/analyze/leading_edge/αCD3_αICOS_10min__GOBP_VESICLE_ORGANIZATION.txt	https://string-db.org/cgi/network?identifiers=ARFGEF2%0DDIAPH3%0DHOOK3%0DLYST%0DPI4K2A%0DZDHHC20&species=9606
αCD3_αICOS_10min		GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION	10	output/analyze/leading_edge/αCD3_αICOS_10min__GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION.txt	https://string-db.org/cgi/network?identifiers=EZH2%0DHOOK3%0DMED1%0DPCM1%0DRBM15%0DSIRT1%0DSMARCA4%0DZC3H12A%0DZC3H8%0DZEB1&species=9606
αCD3_αICOS_10min		GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	14	output/analyze/leading_edge/αCD3_αICOS_10min__GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS.txt	https://string-db.org/cgi/network?identifiers=EZH2%0DHOOK3%0DMED1%0DPCM1%0DPTPN6%0DRBM15%0DRPL29%0DSFMBT1%0DSIRT1%0DSMARCA4%0DSUDS3%0DZC3H12A%0DZC3H8%0DZEB1&species=9606
αCD3_αICOS_10min		GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION	5	output/analyze/leading_edge/αCD3_αICOS_10min__GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION.txt	https://string-db.org/cgi/network?identifiers=AKNA%0DDBN1%0DHOOK3%0DPCM1%0DWDR62&species=9606
αCD3_αICOS_10min		GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	4	output/analyze/leading_edge/αCD3_αICOS_10min__GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT.txt	https://string-db.org/cgi/network?identifiers=ITPR3%0DPDPK1%0DPLCG1%0DSTIM2&species=9606
αCD3_αCD2_10min		GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	8	output/analyze/leading_edge/αCD3_αCD2_10min__GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY.txt	https://string-db.org/cgi/network?identifiers=ARID4B%0DBCL9L%0DLATS1%0DLEMD3%0DPTPRK%0DSIRT1%0DSNW1%0DZEB1&species=9606
αCD3_αCD2_10min		GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	9	output/analyze/leading_edge/αCD3_αCD2_10min__GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA.txt	https://string-db.org/cgi/network?identifiers=ARID4B%0DBCL9L%0DLATS1%0DLEMD3%0DPAK2%0DPTPRK%0DSIRT1%0DSNW1%0DZEB1&species=9606
αCD3_αCD2_10min		GOBP_REGULATION_OF_MACROAUTOPHAGY	8	output/analyze/leading_edge/αCD3_αCD2_10min__GOBP_REGULATION_OF_MACROAUTOPHAGY.txt	https://string-db.org/cgi/network?identifiers=GSK3A%0DHTT%0DMAP3K7%0DMAPK3%0DMTM1%0DOPTN%0DRAB3GAP1%0DUSP36&species=9606
αCD3_αCD2_10min		GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	5	output/analyze/leading_edge/αCD3_αCD2_10min__GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI.txt	https://string-db.org/cgi/network?identifiers=ERC1%0DMON2%0DRCSD1%0DTBC1D10B%0DWASHC2A&species=9606
αCD3_αCD2_10min		GOBP_NERVOUS_SYSTEM_PROCESS	18	output/analyze/leading_edge/αCD3_αCD2_10min__GOBP_NERVOUS_SYSTEM_PROCESS.txt	https://string-db.org/cgi/network?identifiers=CAMK4%0DCIC%0DDIAPH3%0DEP300%0DGIGYF2%0DGIT1%0DGLS%0DGPRIN3%0DGSK3A%0DHTT%0DITPR3%0DMAPK1%0DMAPK3%0DMYCBP2%0DPPP3CB%0DRAB3GAP1%0DRCSD1%0DRIPOR2&species=9606
