leading_edge_list	kinase	overlap	lead_n	substrate_n	universe_n	fisher_p_two_sided	fdr_bh
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	Ret	3	7	5	1219	1.1564627402055677e-06	0.000136462603344257
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	BRAF	2	7	3	1219	8.46307904480962e-05	0.0033288110909584505
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	MEK1	2	7	3	1219	8.46307904480962e-05	0.0033288110909584505
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	PDK1	2	7	7	1219	0.0005859473225679096	0.017285446015753336
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	ERK1	3	7	47	1219	0.0016884488957521074	0.03984739393974974
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	PAK1	2	7	18	1219	0.004141832307720489	0.08145603538516961
αCD3_10min__GOBP_POSITIVE_REGULATION_OF_LOCOMOTION.txt	Ret	3	17	5	1219	2.2191445063870057e-05	0.002618590517536667
αCD3_10min__GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION.txt	Akt2	3	31	6	1219	0.0002833245807682506	0.03343230053065357
αCD3_5min__GOBP_RESPONSE_TO_UV.txt	LKB1	2	5	8	1219	0.0003734623515021356	0.044068557477251996
αCD3_αCD226_10min__GOBP_DNA_RECOMBINATION.txt	CDK2	4	7	78	1219	0.00046953737956369126	0.05540541078851557
αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	Akt1	7	49	53	1219	0.004094751776623264	0.09105637720821141
αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	BRAF	2	49	3	1219	0.004629985281773462	0.09105637720821141
αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	CAMKK1	2	49	3	1219	0.004629985281773462	0.09105637720821141
αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	PKCB	3	49	6	1219	0.00112246687444994	0.09105637720821141
αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	PKCT	3	49	8	1219	0.0029678971602340293	0.09105637720821141
αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	RAF1	2	49	3	1219	0.004629985281773462	0.09105637720821141
αCD3_αCD226_5min__GOBP_CELL_GROWTH.txt	Cot	2	19	5	1219	0.002239711251213391	0.06607148191079504
αCD3_αCD226_5min__GOBP_CELL_GROWTH.txt	ERK2	5	19	54	1219	0.001024939392885259	0.06607148191079504
αCD3_αCD226_5min__GOBP_CELL_GROWTH.txt	PAK2	2	19	5	1219	0.002239711251213391	0.06607148191079504
αCD3_αCD226_5min__GOBP_CELL_GROWTH.txt	PKACA	5	19	57	1219	0.0013174631634227027	0.06607148191079504
αCD3_αCD226_5min__GOBP_REGULATION_OF_GROWTH.txt	Cot	2	19	5	1219	0.002239711251213391	0.08809530921439339
αCD3_αCD226_5min__GOBP_REGULATION_OF_GROWTH.txt	PAK2	2	19	5	1219	0.002239711251213391	0.08809530921439339
αCD3_αCD226_5min__GOBP_REGULATION_OF_GROWTH.txt	PKACA	5	19	57	1219	0.0013174631634227027	0.08809530921439339
αCD3_αCD226_5min__GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY.txt	HIPK2	2	8	5	1219	0.0003734623515021356	0.044068557477251996
αCD3_αCD226_5min__nan.txt	PDGFRB	2	13	4	1219	0.0006228385736957169	0.06087684779241522
αCD3_αCD226_5min__nan.txt	Ret	2	13	5	1219	0.0010318109795324614	0.06087684779241522
αCD3_αCD2_10min__GOBP_NERVOUS_SYSTEM_PROCESS.txt	IKKE	2	18	3	1219	0.0006128701048461829	0.03615933618592479
αCD3_αCD2_10min__GOBP_NERVOUS_SYSTEM_PROCESS.txt	MEK1	2	18	3	1219	0.0006128701048461829	0.03615933618592479
αCD3_αCD2_10min__GOBP_NERVOUS_SYSTEM_PROCESS.txt	Ret	2	18	5	1219	0.002007272612692506	0.07895272276590524
αCD3_αCD2_10min__GOBP_REGULATION_OF_MACROAUTOPHAGY.txt	IKKE	2	8	3	1219	0.00011277907038016007	0.013307930304858889
αCD3_αCD2_10min__GOBP_REGULATION_OF_MACROAUTOPHAGY.txt	IKKB	2	8	8	1219	0.0010354092656623345	0.04072609778271849
αCD3_αCD2_10min__GOBP_REGULATION_OF_MACROAUTOPHAGY.txt	TBK1	2	8	7	1219	0.0007791203278978541	0.04072609778271849
αCD3_αCD2_10min__nan.txt	PKCB	2	7	6	1219	0.00041968455836393834	0.04952277788694472
αCD3_αCD2_10min__nan.txt	GSK3A	2	7	11	1219	0.0015178502747303067	0.0895531662090881
αCD3_αCD2_10min__nan.txt	Akt1	3	7	53	1219	0.0024026081030452217	0.09450258538644539
αCD3_αCD2_5min__GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS.txt	HIPK2	2	8	5	1219	0.0003734623515021356	0.044068557477251996
αCD3_αCD2_5min__GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY.txt	HIPK2	2	9	5	1219	0.00047937483776893443	0.05656623085673426
αCD3_αICOS_10min__GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT.txt	Ret	2	4	5	1219	8.055664268576862e-05	0.009505683836920697
αCD3_αICOS_10min__GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION.txt	ATM	4	10	40	1219	0.00018155059683288197	0.021422970426280073
αCD3_αICOS_10min__GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS.txt	ATM	4	14	40	1219	0.0007864147336492936	0.09279693857061665
αCD3_αICOS_10min__nan.txt	Ret	3	14	5	1219	1.1923325673415962e-05	0.0014069524294630835
αCD3_αICOS_10min__nan.txt	MEK1	2	14	3	1219	0.00036532329949814007	0.021554074670390264
αCD3_αICOS_10min__nan.txt	PKCB	2	14	6	1219	0.001790845983866603	0.07043994203208638
αCD3_αICOS_10min__nan.txt	PDK1	2	14	7	1219	0.0024907175698430425	0.07347616831036975
αCD3_αICOS_10min__nan.txt	PKCT	2	14	8	1219	0.003299150094898337	0.07785994223960076
αCD3_αICOS_10min__nan.txt	JAK2	2	14	9	1219	0.004213917675449283	0.0828737142838359
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS.txt	AurA	4	18	16	1219	5.442362395600948e-05	0.006421987626809118
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS.txt	GSK3B	4	18	33	1219	0.0010444500405582386	0.06162255239293608
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS.txt	MARK2	2	18	5	1219	0.002007272612692506	0.07895272276590524
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	AurA	3	15	16	1219	0.0007681185779052497	0.045318996096409735
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	GSK3B	4	15	33	1219	0.0004935935913793309	0.045318996096409735
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	MARK2	2	15	5	1219	0.0013843932705936593	0.05445280197668393
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	LKB1	2	15	8	1219	0.0037941698702146703	0.08954240893706622
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	Src	4	15	55	1219	0.0034977715596883436	0.08954240893706622
αCD3_αICOS_5min__nan.txt	ERK1	8	32	47	1219	1.3899752631333636e-05	0.0016401708104973691
αCD3_αICOS_5min__nan.txt	ERK2	7	32	54	1219	0.0003219518394453909	0.018995158527278063
